city,place_name,hours,priority

Agra,Taj Mahal,3
Agra,Agra Fort,2
Agra,Mehtab Bagh,2
Agra,Fatehpur Sikri,4
Agra,Itmad-ud-Daulah,2
Agra,Akbar Tomb,2
Agra,Chini Ka Rauza,1
Agra,Jama Masjid Agra,1
Agra,Wildlife SOS,3
Agra,Anguri Bagh,1
Agra,Shah Burj,1
Agra,Khas Mahal,1
Agra,Diwan-i-Khas,1
Agra,Diwan-i-Aam,1
Agra,Musamman Burj,1
Agra,Ram Bagh,2
Agra,Soami Bagh,2
Agra,Gurudwara Guru Ka Taal,1
Agra,Kalakriti Cultural Centre,2
Agra,Subhash Emporium,1
Agra,Mariam's Tomb,2
Agra,Sur Sarovar Bird Sanctuary,3
Agra,Keetham Lake,2
Agra,Shri Mankameshwar Temple,1
Agra,Rawli Temple,1
Agra,Bateshwar Temples,4
Agra,Dayal Bagh Temple,2
Agra,Guru Ka Taal,1
Agra,Soami Bagh Samadhi,2
Agra,Taj Nature Walk,2
Agra,Mughal Heritage Walk,3
Agra,Gyarah Sidi,1
Agra,Angoori Bagh Garden Area,1
Agra,Aram Bagh,2
Agra,Moti Masjid Agra Fort,1
Agra,Nagina Masjid,1
Agra,Sheesh Mahal Agra,1
Agra,Shah Jahan Garden,2
Agra,Meena Bazaar Agra,2
Agra,Sadar Bazaar,2
Agra,Raja Ki Mandi Market,2
Agra,Subhash Bazaar,2
Agra,TDI Mall Agra,2
Agra,Pacific Mall Agra,2
Agra,Agra Marble Emporium,2
Agra,Kalakriti Dance Show,2
Agra,Light and Sound Show Agra Fort,2
Agra,Taj Museum,1
Agra,Spiritual Museum Agra,1
Agra,Agra Bear Rescue Facility,3
Agra,Dolphin Water Park,3
Agra,Dr Bhimrao Ambedkar Park Agra,2
Agra,Company Garden Agra,2
Agra,Paliwal Park,2
Agra,Ram Bagh Garden Area,2
Agra,Govardhan Temple Agra,1
Agra,Balkeshwar Temple,1
Agra,Shri Kailash Temple,2
Agra,Renuka Dham Temple,2
Agra,Chhatri of Raja Jaswant Singh,1
Agra,Chini Ka Rauza Garden Area,1
Agra,Agra Cantonment Area Walk,2
Agra,Yamuna Riverfront Walk,2
Agra,Boat Ride Yamuna River,2
Agra,Taj Ganj Market,2
Agra,Fatehabad Road Market,2
Agra,Kinari Bazaar,2
Agra,Shilpgram Agra,2
Agra,Agra Art Gallery,2
Agra,Crafts Museum Agra,2
Agra,Street Food Tour Agra,3
Agra,Mughlai Food Trail,3
Agra,Taj View Point,1
Agra,Sunset Point Mehtab Side,1
Agra,Photography Tour Taj Area,2
Agra,Local Handicraft Workshop,2
Agra,Pottery Workshop Agra,2
Agra,Mini Taj Replica Workshop,1
Agra,Heritage Cycling Tour,3
Agra,Agra Fort Outer Walk,2
Agra,Old Agra City Walk,3
Agra,Agra Spice Market,2
Agra,Temple Trail Agra,3
Agra,Historical Mosques Tour,3
Agra,Riverfront Garden Walk,2
Agra,Cultural Folk Performance Agra,2
Agra,Night Market Agra,2
Agra,Local Cafe Exploration,2
Agra,Traditional Sweet Shops Tour,2
Agra,Handloom Market Visit,2
Agra,Agra Fort Sunset View,1
Agra,Taj Sunrise View,2

Ahmedabad,Sabarmati Ashram,2
Ahmedabad,Adalaj Stepwell,2
Ahmedabad,Akshardham Temple Gandhinagar,3
Ahmedabad,Kankaria Lake,3
Ahmedabad,Manek Chowk,2
Ahmedabad,Jama Masjid Ahmedabad,1
Ahmedabad,Sidi Saiyyed Mosque,1
Ahmedabad,Calico Museum of Textiles,2
Ahmedabad,Law Garden Market,2
Ahmedabad,Sarkhej Roza,2
Ahmedabad,Auto World Vintage Car Museum,2
Ahmedabad,Hutheesing Jain Temple,1
Ahmedabad,Science City Ahmedabad,3
Ahmedabad,Riverfront Sabarmati,2
Ahmedabad,Teen Darwaza,1
Ahmedabad,Bhadra Fort,2
Ahmedabad,Dada Hari Stepwell,2
Ahmedabad,Vastrapur Lake,2
Ahmedabad,Gujarat Science City,3
Ahmedabad,Shreyas Folk Museum,2
Ahmedabad,ISKCON Temple Ahmedabad,1
Ahmedabad,Swaminarayan Temple Kalupur,2
Ahmedabad,Thol Lake Bird Sanctuary,3
Ahmedabad,Nal Sarovar Bird Sanctuary,4
Ahmedabad,Alpha One Mall,2
Ahmedabad,CG Road Shopping,2
Ahmedabad,Local Street Food Tour,3
Ahmedabad,Heritage Walk Ahmedabad,3
Ahmedabad,Handicraft Market Visit,2
Ahmedabad,Local Cafe Exploration,2

Amritsar,Golden Temple,3
Amritsar,Jallianwala Bagh,2
Amritsar,Wagah Border,3
Amritsar,Durgiana Temple,2
Amritsar,Rambagh Gardens,2
Amritsar,Maharaja Ranjit Singh Museum,2
Amritsar,Akal Takht,1
Amritsar,Tarn Taran Sahib,3
Amritsar,Gobindgarh Fort,3
Amritsar,Hall Bazaar,2
Amritsar,Katra Jaimal Singh Market,2
Amritsar,Company Bagh,2
Amritsar,Khalsa College,1
Amritsar,Central Sikh Museum,2
Amritsar,Partition Museum,2
Amritsar,Heritage Walk Amritsar,3
Amritsar,Local Food Tour,3
Amritsar,Street Food Market,2
Amritsar,Local Cafe Exploration,2
Amritsar,Night Market Amritsar,2

Bangalore,Lalbagh Botanical Garden,3
Bangalore,Cubbon Park,2
Bangalore,Bangalore Palace,2
Bangalore,ISKCON Temple Bangalore,2
Bangalore,Vidhana Soudha,1
Bangalore,Tipu Sultan Summer Palace,2
Bangalore,Bannerghatta National Park,4
Bangalore,UB City Mall,2
Bangalore,MG Road,2
Bangalore,Commercial Street,2
Bangalore,Orion Mall,2
Bangalore,Wonderla Amusement Park,4
Bangalore,Nandi Hills,4
Bangalore,Ulsoor Lake,2
Bangalore,Jawaharlal Nehru Planetarium,2
Bangalore,HAL Aerospace Museum,2
Bangalore,Bull Temple,1
Bangalore,Gavi Gangadhareshwara Temple,1
Bangalore,Innovative Film City,4
Bangalore,Local Cafe Exploration,2

Bhopal,Upper Lake,3
Bhopal,Van Vihar National Park,3
Bhopal,Sanchi Stupa,4
Bhopal,Bhimbetka Caves,4
Bhopal,State Museum Bhopal,2
Bhopal,Tribal Museum,2
Bhopal,Taj-ul-Masajid,2
Bhopal,Gohar Mahal,2
Bhopal,Shaukat Mahal,1
Bhopal,Lower Lake,2
Bhopal,Indira Gandhi Rashtriya Manav Sangrahalaya,3
Bhopal,Birla Temple Bhopal,1
Bhopal,Regional Science Centre,2
Bhopal,People’s Mall,2
Bhopal,Local Market Bhopal,2

Bhubaneswar,Lingaraj Temple,2
Bhubaneswar,Mukteshwar Temple,1
Bhubaneswar,Rajarani Temple,1
Bhubaneswar,Udayagiri Caves,3
Bhubaneswar,Khandagiri Caves,3
Bhubaneswar,Nandankanan Zoo,4
Bhubaneswar,Odisha State Museum,2
Bhubaneswar,Bindu Sagar Lake,2
Bhubaneswar,Dhauli Hills,2
Bhubaneswar,ISKCON Temple Bhubaneswar,1
Bhubaneswar,Ekamra Kanan Botanical Garden,2
Bhubaneswar,Local Market Bhubaneswar,2

Chandigarh,Rock Garden,3
Chandigarh,Sukhna Lake,2
Chandigarh,Rose Garden,2
Chandigarh,Capitol Complex,2
Chandigarh,Elante Mall,2
Chandigarh,Garden of Fragrance,2
Chandigarh,Leisure Valley,2
Chandigarh,Bird Sanctuary Chandigarh,2
Chandigarh,Japanese Garden,2
Chandigarh,Local Market Chandigarh,2

Chennai,Marina Beach,3
Chennai,Kapaleeshwarar Temple,2
Chennai,Fort St George,2
Chennai,San Thome Basilica,2
Chennai,Government Museum Chennai,3
Chennai,Besant Nagar Beach,2
Chennai,Elliot’s Beach,2
Chennai,VGP Golden Beach,3
Chennai,Guindy National Park,3
Chennai,ISKCON Temple Chennai,2
Chennai,Phoenix Market City,2
Chennai,Express Avenue Mall,2
Chennai,Local Street Food Tour,3

Coorg,Abbey Falls,2
